author_id,book_id
0,0
0,250
0,934
0,6654
0,44724
0,177624
0,886638
0,7347805
0,50555083
0,194291987
1,1
1,256
1,942
1,7037
1,44895
1,201947
1,897291
1,7474857
1,50899419
1,196289410
2,2
2,268
2,956
2,7043
2,44939
2,206704
2,899846
2,7579007
2,54181558
2,197560408
3,3
3,269
3,957
3,7092
3,45537
3,211820
3,903269
3,7579037
3,54669949
3,217229641
4,4
4,272
4,964
4,7190
4,45687
4,212022
4,917830
4,7824533
4,55323120
4,218150804
5,5
5,279
5,966
5,7323
5,45911
5,213564
5,938307
5,7825916
5,57850069
5,221441617
7,6
7,292
7,979
7,7393
7,46084
7,220241
7,944732
7,7877118
7,59358643
7,232530075
8,7
8,296
8,986
8,7398
8,46240
8,229468
8,953432
8,7883490
8,59457558
8,234987801
9,8
9,298
9,989
9,7428
9,46561
9,230058
9,959383
9,7959945
9,59536051
9,244728887
28,9
28,305
28,996
28,7509
28,47459
28,236416
28,980649
28,7961128
28,59550986
28,246921465
32,11
32,306
32,1257
32,7529
32,47695
32,239162
32,984298
32,7970187
32,60534239
32,249048906
40,12
40,308
40,1305
40,7627
40,47861
40,240554
40,1036242
40,7982608
40,60581693
40,272891973
41,13
41,321
41,1333
41,7721
41,48867
41,245798
41,1081312
41,8012208
41,60644896
41,278226669
49,14
49,325
49,1340
49,7764
49,49162
49,260362
49,1107338
49,8104723
49,61544433
49,285823580
67,15
67,326
67,1396
67,7852
67,49508
67,261809
67,1137461
67,8110480
67,61853383
67,294370259
75,16
75,333
75,1434
75,7859
75,49586
75,263936
75,1301614
75,8173155
75,63391121
75,300042329
82,17
82,343
82,1618
82,7866
82,50124
82,274287
82,1321222
82,8185575
82,63652797
82,300581921
86,19
86,347
86,1629
86,8077
86,50461
86,275441
86,1363935
86,8363273
86,63734777
86,317531350
89,20
89,348
89,1640
89,8207
89,50624
89,278114
89,1451551
89,8512104
89,64702480
89,324248559
92,22
92,350
92,1652
92,8218
92,52088
92,289264
92,1468736
92,8594430
92,65294204
92,338472675
94,23
94,354
94,1757
94,8246
94,52531
94,290806
94,1533131
94,8600621
94,65548435
94,350332500
95,24
95,356
95,1846
95,8334
95,53606
95,295206
95,1559046
95,8683868
95,66417739
95,354679394
99,25
99,364
99,1863
99,8440
99,54557
99,297820
99,1586912
99,8819605
99,66606888
99,358387306
195,26
195,388
195,1878
195,8563
195,55290
195,302208
195,2004830
195,8865825
195,66765712
195,362049558
210,27
210,414
210,2035
210,8667
210,55427
210,328383
210,2067915
210,8881811
210,67278912
210,362317622
222,28
222,434
222,2115
222,8695
222,58009
222,336707
222,2121798
222,8896172
222,67992351
222,362455499
224,29
224,439
224,2125
224,8712
224,58725
224,338325
224,2195254
224,8919219
224,68174427
224,380084411
274,30
274,447
274,2189
274,8854
274,58729
274,339555
274,2255164
274,8946857
274,68938846
274,382300831
470,31
470,448
470,2289
470,8887
470,59182
470,344259
470,2387978
470,8961984
470,69116243
470,385068325
671,32
671,462
671,2318
671,9021
671,59954
671,349480
671,2391135
671,9047983
671,69326640
671,403025714
868,33
868,463
868,2468
868,9074
868,60038
868,362683
868,2646482
868,9111906
868,69502359
868,408488280
875,35
875,474
875,2469
875,9099
875,61353
875,372098
875,2786404
875,9157650
875,70080649
875,410264031
976,36
976,475
976,2509
976,9203
976,62795
976,379874
976,2825092
976,9297472
976,70201390
976,417177336
1469,38
1469,522
1469,2582
1469,9228
1469,62982
1469,384487
1469,2825277
1469,9353865
1469,70354577
1469,425890478
2978,40
2978,533
2978,2823
2978,9244
2978,63418
2978,387551
2978,2943342
2978,9399509
2978,70741072
2978,427239472
3146,41
3146,551
3146,2857
3146,9346
3146,63605
3146,393388
3146,3068712
3146,9442220
3146,73309079
3146,428728278
3970,42
3970,557
3970,3049
3970,9367
3970,63919
3970,407551
3970,3103210
3970,9495993
3970,73531330
3970,432231711
4170,44
4170,559
4170,3168
4170,9369
4170,64861
4170,408912
4170,3116414
4170,9513979
4170,75168465
4170,434649872
7324,47
7324,566
7324,3177
7324,9455
7324,65116
7324,420425
7324,3234728
7324,9558662
7324,75502668
7324,448377298
8026,48
8026,584
8026,3270
8026,9518
