timestamp,book_id,cardholder_id,status
1970-02-19 09:00:58,38,4072,pending
1970-03-06 20:09:28,20,50,fulfilled
1970-03-06 21:32:57,7,11,cancelled
1970-08-05 09:56:39,30,692,cancelled
1970-10-06 22:16:26,50,24718,cancelled
1971-11-23 06:11:12,23,56,fulfilled
1973-10-27 08:59:08,28,537,pending
1973-12-25 06:48:38,5,7,fulfilled
1975-05-15 05:22:54,1,2,fulfilled
1976-09-19 04:19:37,9,15,cancelled
1977-06-17 23:42:31,13,25,cancelled
1979-12-29 10:51:08,32,992,fulfilled
1980-11-04 06:40:53,4,6,fulfilled
1984-02-07 20:31:44,8,12,cancelled
1984-06-21 04:44:53,44,8657,fulfilled
1984-09-05 12:33:47,17,38,pending
1987-07-05 15:08:17,42,6656,fulfilled
1991-01-06 05:22:11,15,28,pending
1991-01-09 19:31:18,16,29,cancelled
1991-12-15 16:09:59,31,902,pending
1993-02-17 04:10:15,26,247,fulfilled
1993-11-20 21:00:05,3,5,cancelled
1995-10-27 02:13:29,14,27,pending
1999-03-29 00:16:14,11,20,cancelled
2000-11-24 22:39:12,33,2056,fulfilled
2003-11-08 05:04:29,49,19137,fulfilled
2004-10-16 17:16:36,24,92,fulfilled
2004-11-22 03:06:56,58,81449,fulfilled
2004-12-01 04:02:32,56,59498,fulfilled
2005-05-06 10:21:23,54,59105,fulfilled
2005-11-25 04:26:18,36,2273,fulfilled
2006-01-19 07:17:49,60,86004,fulfilled
2007-03-29 14:04:38,55,59326,fulfilled
2008-01-14 17:24:05,25,97,cancelled
2009-06-03 18:59:28,57,80139,fulfilled
2011-04-03 06:57:52,12,24,fulfilled
2011-04-23 06:04:27,40,5775,cancelled
2011-09-16 16:30:32,6,8,fulfilled
2013-07-06 12:34:56,0,0,fulfilled
2013-12-22 01:56:28,41,5880,fulfilled
2015-06-06 15:01:11,35,2206,cancelled
2018-03-19 04:17:42,47,8951,pending
2018-04-09 17:16:28,51,36517,cancelled
2019-01-21 02:54:17,48,9615,cancelled
2020-08-12 06:00:28,52,58854,pending
2020-10-16 04:33:17,29,588,cancelled
2021-03-21 00:52:59,19,46,fulfilled
2021-05-20 14:12:52,2,4,fulfilled
2021-08-27 10:54:24,27,404,fulfilled
2023-07-17 18:49:32,22,54,pending
